tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,playwright.config.ts,playwright.config.ts,11,100.0,100.0,False
DERIVED-HIGH,tests/vitest.setup.ts,tests/vitest.setup.ts,11,100.0,100.0,False
DERIVED-HIGH,tests/unit/slashMatcher.test.ts,tests/unit/slashMatcher.test.ts,20,100.0,100.0,False
DERIVED-HIGH,tests/unit/slashCommandAvailability.test.ts,tests/unit/slashCommandAvailability.test.ts,17,100.0,100.0,False
DERIVED-HIGH,tests/unit/healthCheckClassify.test.ts,tests/unit/healthCheckClassify.test.ts,15,100.0,100.0,False
DERIVED-HIGH,tests/unit/conversationCache.test.ts,tests/unit/conversationCache.test.ts,17,100.0,100.0,False
DERIVED-HIGH,tests/unit/normalizeWsUrl.test.ts,tests/unit/normalizeWsUrl.test.ts,23,100.0,100.0,False
DERIVED-HIGH,tests/unit/modelSourceLabel.test.ts,tests/unit/modelSourceLabel.test.ts,17,100.0,100.0,False
DERIVED-HIGH,tests/unit/acpUtilsDecodeWindows.test.ts,tests/unit/acpUtilsDecodeWindows.test.ts,22,100.0,100.0,False
DERIVED-HIGH,tests/unit/atFileQuery.test.ts,tests/unit/atFileQuery.test.ts,22,100.0,100.0,False
DERIVED-HIGH,tests/unit/modelFallback.test.ts,tests/unit/modelFallback.test.ts,27,100.0,100.0,False
DERIVED-HIGH,tests/unit/geminiAbortRecovery.test.ts,tests/unit/geminiAbortRecovery.test.ts,44,100.0,100.0,False
DERIVED-HIGH,tests/unit/workspaceMentions.test.ts,tests/unit/workspaceMentions.test.ts,20,100.0,100.0,False
DERIVED-HIGH,tests/unit/assistantPresets.i18n.test.ts,tests/unit/assistantPresets.i18n.test.ts,8,100.0,100.0,False
DERIVED-HIGH,tests/unit/useIndexedItemRefs.dom.test.tsx,tests/unit/useIndexedItemRefs.dom.test.tsx,18,100.0,100.0,False
DERIVED-HIGH,tests/unit/registry.test.ts,tests/unit/registry.test.ts,19,100.0,100.0,False
DERIVED-HIGH,tests/unit/useConversationActions.dom.test.ts,tests/unit/useConversationActions.dom.test.ts,45,100.0,100.0,False
DERIVED-HIGH,tests/unit/weixinLoginRoutes.test.ts,tests/unit/weixinLoginRoutes.test.ts,37,100.0,100.0,False
DERIVED-HIGH,tests/unit/webui-favicon.test.ts,tests/unit/webui-favicon.test.ts,12,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/AcpConfigSelector.dom.test.tsx,tests/unit/renderer/AcpConfigSelector.dom.test.tsx,31,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/assertBridgeSuccess.test.ts,tests/unit/renderer/assertBridgeSuccess.test.ts,9,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/markdownShadowViewSpacing.dom.test.tsx,tests/unit/renderer/markdownShadowViewSpacing.dom.test.tsx,23,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/guidInputCard.dom.test.tsx,tests/unit/renderer/guidInputCard.dom.test.tsx,33,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/components/markdown/CodeBlock.dom.test.tsx,tests/unit/renderer/components/markdown/CodeBlock.dom.test.tsx,12,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/components/layout/siderOrder.test.ts,tests/unit/renderer/components/layout/siderOrder.test.ts,27,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/conversation/MessageCronTrigger.dom.test.tsx,tests/unit/renderer/conversation/MessageCronTrigger.dom.test.tsx,31,100.0,100.0,False
DERIVED-HIGH,tests/unit/renderer/conversation/WorkspacePanelHeader.dom.test.tsx,tests/unit/renderer/conversation/WorkspacePanelHeader.dom.test.tsx,26,100.0,100.0,False
DERIVED-HIGH,tests/unit/chat/autoTitle.test.ts,tests/unit/chat/autoTitle.test.ts,15,100.0,100.0,False
DERIVED-HIGH,tests/unit/chat/sendboxSpellcheck.dom.test.tsx,tests/unit/chat/sendboxSpellcheck.dom.test.tsx,78,100.0,100.0,False
DERIVED-HIGH,tests/unit/chat/getLastAssistantText.test.ts,tests/unit/chat/getLastAssistantText.test.ts,27,100.0,100.0,False
DERIVED-HIGH,tests/unit/extensions/sandboxPermission.test.ts,tests/unit/extensions/sandboxPermission.test.ts,18,100.0,100.0,False
DERIVED-HIGH,tests/unit/common/i18n.index.test.ts,tests/unit/common/i18n.index.test.ts,11,100.0,100.0,False
DERIVED-HIGH,tests/unit/common/conversationHistoryContext.dom.test.tsx,tests/unit/common/conversationHistoryContext.dom.test.tsx,46,100.0,100.0,False
DERIVED-HIGH,tests/unit/process/bridge/applicationBridgeCore.test.ts,tests/unit/process/bridge/applicationBridgeCore.test.ts,28,100.0,100.0,False
DERIVED-HIGH,tests/unit/process/team/teammatePrompt.test.ts,tests/unit/process/team/teammatePrompt.test.ts,14,100.0,100.0,False
DERIVED-HIGH,tests/unit/process/acp/infra/processUtils.test.ts,tests/unit/process/acp/infra/processUtils.test.ts,29,100.0,100.0,False
DERIVED-HIGH,tests/unit/process/acp/session/emitCrashSignal.test.ts,tests/unit/process/acp/session/emitCrashSignal.test.ts,18,100.0,100.0,False
DERIVED-HIGH,tests/integration/webui-favicon-build.test.ts,tests/integration/webui-favicon-build.test.ts,74,100.0,100.0,False
DERIVED-HIGH,tests/e2e/specs/app-launch.e2e.ts,tests/e2e/specs/app-launch.e2e.ts,14,100.0,100.0,False
DERIVED-HIGH,tests/e2e/helpers/teamConfig.ts,tests/e2e/helpers/teamConfig.ts,4,100.0,100.0,False
DERIVED-HIGH,tests/e2e/helpers/extensions.ts,tests/e2e/helpers/extensions.ts,46,100.0,100.0,False
DERIVED-HIGH,tests/e2e/helpers/assertions.ts,tests/e2e/helpers/assertions.ts,13,100.0,100.0,False
DERIVED-HIGH,tests/e2e/helpers/bridge.ts,tests/e2e/helpers/bridge.ts,22,100.0,100.0,False
DERIVED-HIGH,tests/e2e/helpers/screenshots.ts,tests/e2e/helpers/screenshots.ts,6,100.0,100.0,False
DERIVED-HIGH,tests/e2e/helpers/index.ts,tests/e2e/helpers/index.ts,9,100.0,100.0,False
DERIVED-HIGH,src/types.d.ts,src/types.d.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/types.d.ts,src/renderer/types.d.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/common.ts,src/renderer/utils/common.ts,9,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/focus.ts,src/renderer/utils/ui/focus.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/clipboard.ts,src/renderer/utils/ui/clipboard.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/createContext.tsx,src/renderer/utils/ui/createContext.tsx,19,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/siderTooltip.ts,src/renderer/utils/ui/siderTooltip.ts,18,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/getLastAssistantText.ts,src/renderer/utils/chat/getLastAssistantText.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/skillSuggestParser.ts,src/renderer/utils/chat/skillSuggestParser.ts,38,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/messageHistory.ts,src/renderer/utils/chat/messageHistory.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/fileType.ts,src/renderer/utils/file/fileType.ts,34,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/fileSelection.ts,src/renderer/utils/file/fileSelection.ts,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/base64.ts,src/renderer/utils/file/base64.ts,20,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelPlatforms.ts,src/renderer/utils/model/modelPlatforms.ts,84,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/presetAssistantResources.ts,src/renderer/utils/model/presetAssistantResources.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/agentTypes.ts,src/renderer/utils/model/agentTypes.ts,9,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelFallback.ts,src/renderer/utils/model/modelFallback.ts,31,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelSource.ts,src/renderer/utils/model/modelSource.ts,8,100.0,100.0,False
