tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/types.d.ts,packages/desktop/src/types.d.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/types.d.ts,packages/desktop/src/renderer/types.d.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/common.ts,packages/desktop/src/renderer/utils/common.ts,9,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/focus.ts,packages/desktop/src/renderer/utils/ui/focus.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/clipboard.ts,packages/desktop/src/renderer/utils/ui/clipboard.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/createContext.tsx,packages/desktop/src/renderer/utils/ui/createContext.tsx,19,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/siderTooltip.ts,packages/desktop/src/renderer/utils/ui/siderTooltip.ts,18,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/getLastAssistantText.ts,packages/desktop/src/renderer/utils/chat/getLastAssistantText.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/skillSuggestParser.ts,packages/desktop/src/renderer/utils/chat/skillSuggestParser.ts,38,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/fileSelection.ts,packages/desktop/src/renderer/utils/file/fileSelection.ts,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/base64.ts,packages/desktop/src/renderer/utils/file/base64.ts,20,100.0,100.0,False
DERIVED-HIGH,src/renderer/styles/colors.ts,packages/desktop/src/renderer/styles/colors.ts,50,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/ShimmerText.tsx,packages/desktop/src/renderer/components/ShimmerText.tsx,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/settingsViewContext.tsx,packages/desktop/src/renderer/components/settings/SettingsModal/settingsViewContext.tsx,6,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/channels/ChannelItem.tsx,packages/desktop/src/renderer/components/settings/SettingsModal/contents/channels/ChannelItem.tsx,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/channels/ChannelHeader.tsx,packages/desktop/src/renderer/components/settings/SettingsModal/contents/channels/ChannelHeader.tsx,42,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/chat/SlashCommandMenu.tsx,packages/desktop/src/renderer/components/chat/SlashCommandMenu.tsx,46,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/chat/BtwOverlay/index.tsx,packages/desktop/src/renderer/components/chat/BtwOverlay/index.tsx,75,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/Markdown/markdownUtils.ts,packages/desktop/src/renderer/components/Markdown/markdownUtils.ts,13,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/AppLoader.tsx,packages/desktop/src/renderer/components/layout/AppLoader.tsx,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/PwaPullToRefresh.tsx,packages/desktop/src/renderer/components/layout/PwaPullToRefresh.tsx,49,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/FlexFullContainer.tsx,packages/desktop/src/renderer/components/layout/FlexFullContainer.tsx,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/siderOrder.ts,packages/desktop/src/renderer/components/layout/Sider/siderOrder.ts,43,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/useStoredSiderOrder.ts,packages/desktop/src/renderer/components/layout/Sider/useStoredSiderOrder.ts,43,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/SortableSiderEntry.tsx,packages/desktop/src/renderer/components/layout/Sider/SortableSiderEntry.tsx,13,100.0,100.0,False
