tier,band,file,upstream,our_lines,upstream_lines,ferrox_lines,line_overlap,id_overlap
AUTO,identical,playwright.config.ts,playwright.config.ts,11,11,0,100.0,100.0
AUTO,identical,tests/vitest.setup.ts,tests/vitest.setup.ts,11,11,0,100.0,100.0
AUTO,identical,tests/unit/slashMatcher.test.ts,tests/unit/slashMatcher.test.ts,20,20,0,100.0,100.0
AUTO,identical,tests/unit/slashCommandAvailability.test.ts,tests/unit/slashCommandAvailability.test.ts,17,17,0,100.0,100.0
AUTO,identical,tests/unit/healthCheckClassify.test.ts,tests/unit/healthCheckClassify.test.ts,15,15,0,100.0,100.0
AUTO,identical,tests/unit/conversationCache.test.ts,tests/unit/conversationCache.test.ts,17,17,0,100.0,100.0
AUTO,identical,tests/unit/normalizeWsUrl.test.ts,tests/unit/normalizeWsUrl.test.ts,23,23,0,100.0,100.0
AUTO,identical,tests/unit/modelSourceLabel.test.ts,tests/unit/modelSourceLabel.test.ts,17,17,0,100.0,100.0
AUTO,identical,tests/unit/acpUtilsDecodeWindows.test.ts,tests/unit/acpUtilsDecodeWindows.test.ts,22,22,0,100.0,100.0
AUTO,identical,tests/unit/atFileQuery.test.ts,tests/unit/atFileQuery.test.ts,22,22,0,100.0,100.0
AUTO,identical,tests/unit/modelFallback.test.ts,tests/unit/modelFallback.test.ts,27,27,0,100.0,100.0
AUTO,identical,tests/unit/geminiAbortRecovery.test.ts,tests/unit/geminiAbortRecovery.test.ts,44,44,0,100.0,100.0
AUTO,identical,tests/unit/workspaceMentions.test.ts,tests/unit/workspaceMentions.test.ts,20,20,0,100.0,100.0
AUTO,identical,tests/unit/assistantPresets.i18n.test.ts,tests/unit/assistantPresets.i18n.test.ts,8,8,0,100.0,100.0
AUTO,identical,tests/unit/useIndexedItemRefs.dom.test.tsx,tests/unit/useIndexedItemRefs.dom.test.tsx,18,18,0,100.0,100.0
AUTO,identical,tests/unit/registry.test.ts,tests/unit/registry.test.ts,19,19,0,100.0,100.0
AUTO,identical,tests/unit/useConversationActions.dom.test.ts,tests/unit/useConversationActions.dom.test.ts,45,45,0,100.0,100.0
AUTO,identical,tests/unit/weixinLoginRoutes.test.ts,tests/unit/weixinLoginRoutes.test.ts,37,37,0,100.0,100.0
AUTO,identical,tests/unit/webui-favicon.test.ts,tests/unit/webui-favicon.test.ts,12,12,0,100.0,100.0
AUTO,identical,tests/unit/renderer/AcpConfigSelector.dom.test.tsx,tests/unit/renderer/AcpConfigSelector.dom.test.tsx,31,31,0,100.0,100.0
AUTO,identical,tests/unit/renderer/assertBridgeSuccess.test.ts,tests/unit/renderer/assertBridgeSuccess.test.ts,9,9,0,100.0,100.0
AUTO,identical,tests/unit/renderer/markdownShadowViewSpacing.dom.test.tsx,tests/unit/renderer/markdownShadowViewSpacing.dom.test.tsx,23,23,0,100.0,100.0
AUTO,identical,tests/unit/renderer/guidInputCard.dom.test.tsx,tests/unit/renderer/guidInputCard.dom.test.tsx,33,33,0,100.0,100.0
AUTO,identical,tests/unit/renderer/components/markdown/CodeBlock.dom.test.tsx,tests/unit/renderer/components/markdown/CodeBlock.dom.test.tsx,12,12,0,100.0,100.0
AUTO,identical,tests/unit/renderer/components/layout/siderOrder.test.ts,tests/unit/renderer/components/layout/siderOrder.test.ts,27,27,0,100.0,100.0
AUTO,identical,tests/unit/renderer/conversation/MessageCronTrigger.dom.test.tsx,tests/unit/renderer/conversation/MessageCronTrigger.dom.test.tsx,31,31,0,100.0,100.0
AUTO,identical,tests/unit/renderer/conversation/WorkspacePanelHeader.dom.test.tsx,tests/unit/renderer/conversation/WorkspacePanelHeader.dom.test.tsx,26,26,0,100.0,100.0
AUTO,identical,tests/unit/chat/autoTitle.test.ts,tests/unit/chat/autoTitle.test.ts,15,15,0,100.0,100.0
AUTO,identical,tests/unit/chat/sendboxSpellcheck.dom.test.tsx,tests/unit/chat/sendboxSpellcheck.dom.test.tsx,78,78,0,100.0,100.0
AUTO,identical,tests/unit/chat/getLastAssistantText.test.ts,tests/unit/chat/getLastAssistantText.test.ts,27,27,0,100.0,100.0
AUTO,identical,tests/unit/extensions/sandboxPermission.test.ts,tests/unit/extensions/sandboxPermission.test.ts,18,18,0,100.0,100.0
AUTO,identical,tests/unit/common/i18n.index.test.ts,tests/unit/common/i18n.index.test.ts,11,11,0,100.0,100.0
AUTO,identical,tests/unit/common/conversationHistoryContext.dom.test.tsx,tests/unit/common/conversationHistoryContext.dom.test.tsx,46,46,0,100.0,100.0
