file,upstream,decision,shared_expression_lines,our_expression_lines,line_overlap,id_overlap,reason
src/renderer/services/i18n/i18n-keys.d.ts,src/renderer/services/i18n/i18n-keys.d.ts,CREDIT,1486,4747,31.3,41.9,structure retained from upstream
tests/unit/team-TeammateManager.test.ts,tests/unit/team-TeammateManager.test.ts,CREDIT,697,873,35.9,73.1,structure retained from upstream
src/process/services/database/migrations.ts,src/process/services/database/migrations.ts,CREDIT,653,1051,34.2,57.3,structure retained from upstream
tests/unit/process/acp/compat/AcpAgentV2.test.ts,tests/unit/process/acp/compat/AcpAgentV2.test.ts,CREDIT,459,587,38.1,57.8,structure retained from upstream
tests/unit/renderer/conversation/CreateTaskDialog.dom.test.tsx,tests/unit/renderer/conversation/CreateTaskDialog.dom.test.tsx,CREDIT,450,540,47.5,91.1,structure retained from upstream
tests/unit/shellEnv.test.ts,tests/unit/shellEnv.test.ts,CREDIT,432,574,32.4,62.3,structure retained from upstream
tests/unit/useAutoScroll.dom.test.ts,tests/unit/useAutoScroll.dom.test.ts,CREDIT,360,449,23.6,69.4,structure retained from upstream
tests/e2e/specs/assistant-settings-crud.e2e.ts,tests/e2e/specs/assistant-settings-crud.e2e.ts,CREDIT,246,254,46.3,100.0,structure retained from upstream
src/process/team/TeammateManager.ts,src/process/team/TeammateManager.ts,CREDIT,240,390,48.1,65.1,structure retained from upstream
tests/unit/cronService.test.ts,tests/unit/cronService.test.ts,CREDIT,229,361,44.3,67.4,structure retained from upstream
tests/unit/channels/weixinPlugin.test.ts,tests/unit/channels/weixinPlugin.test.ts,CREDIT,221,262,41.4,74.3,structure retained from upstream
src/process/channels/core/ChannelManager.ts,src/process/channels/core/ChannelManager.ts,CREDIT,218,398,48.6,66.2,structure retained from upstream
tests/unit/teamModelUtils.test.ts,tests/unit/teamModelUtils.test.ts,CREDIT,218,250,46.3,89.7,structure retained from upstream
src/common/adapter/ipcBridge.ts,src/common/adapter/ipcBridge.ts,CREDIT,210,1008,20.3,49.1,structure retained from upstream
tests/unit/chatLib.test.ts,tests/unit/chatLib.test.ts,CREDIT,192,304,44.6,58.0,structure retained from upstream
tests/unit/officeWatchBridge.test.ts,tests/unit/officeWatchBridge.test.ts,CREDIT,192,303,37.1,60.7,structure retained from upstream
src/renderer/components/settings/SettingsModal/contents/ToolsModalContent.tsx,src/renderer/components/settings/SettingsModal/contents/ToolsModalContent.tsx,CREDIT,191,466,35.5,46.1,structure retained from upstream
src/renderer/pages/conversation/components/ChatConversation.tsx,src/renderer/pages/conversation/components/ChatConversation.tsx,CREDIT,190,305,40.2,74.5,structure retained from upstream
src/index.ts,src/index.ts,CREDIT,189,541,34.8,51.1,structure retained from upstream
tests/unit/extensions/lifecycle.test.ts,tests/unit/extensions/lifecycle.test.ts,CREDIT,188,189,46.6,100.0,structure retained from upstream
tests/unit/process/utils/configMigration.test.ts,tests/unit/process/utils/configMigration.test.ts,CREDIT,163,173,44.8,97.6,structure retained from upstream
src/process/team/repository/SqliteTeamRepository.ts,src/process/team/repository/SqliteTeamRepository.ts,CREDIT,154,291,38.9,56.9,structure retained from upstream
tests/unit/process/teamSessionService.test.ts,tests/unit/process/teamSessionService.test.ts,CREDIT,152,245,42.6,73.4,structure retained from upstream
src/renderer/components/agent/AcpModelSelector.tsx,src/renderer/components/agent/AcpModelSelector.tsx,CREDIT,145,238,49.6,60.5,structure retained from upstream
src/common/chat/imageGenCore.ts,src/common/chat/imageGenCore.ts,CREDIT,145,272,48.1,55.9,structure retained from upstream
tests/unit/bridge/applicationBridge.startOnBoot.test.ts,tests/unit/bridge/applicationBridge.startOnBoot.test.ts,CREDIT,132,149,45.3,90.3,structure retained from upstream
tests/unit/pptPreviewBridge.test.ts,tests/unit/pptPreviewBridge.test.ts,CREDIT,132,203,43.5,65.5,structure retained from upstream
tests/unit/imageGenCore.test.ts,tests/unit/imageGenCore.test.ts,CREDIT,130,324,29.9,51.0,structure retained from upstream
src/process/utils/initAgent.ts,src/process/utils/initAgent.ts,CREDIT,127,196,45.8,55.2,structure retained from upstream
src/process/bridge/services/SpeechToTextService.ts,src/process/bridge/services/SpeechToTextService.ts,CREDIT,122,217,47.6,63.9,structure retained from upstream
src/process/bridge/channelBridge.ts,src/process/bridge/channelBridge.ts,CREDIT,120,201,48.8,55.4,structure retained from upstream
tests/unit/process/services/mcpProtocol.test.ts,tests/unit/process/services/mcpProtocol.test.ts,CREDIT,118,179,45.9,70.7,structure retained from upstream
tests/unit/useWorkspaceEvents.dom.test.ts,tests/unit/useWorkspaceEvents.dom.test.ts,CREDIT,115,115,46.6,100.0,structure retained from upstream
src/common/config/storage.ts,src/common/config/storage.ts,CREDIT,105,204,41.1,61.9,structure retained from upstream
tests/unit/bridge/modelBridge.test.ts,tests/unit/bridge/modelBridge.test.ts,CREDIT,105,168,32.9,72.1,structure retained from upstream
