tier,file,upstream,new_upstream,upstream_action,our_lines,line_overlap,id_overlap
DERIVED-HIGH,tests/vitest.setup.ts,tests/vitest.setup.ts,tests/vitest.setup.ts,EDITED-IN-PLACE,11,100.0,100.0
DERIVED-HIGH,tests/unit/slashMatcher.test.ts,tests/unit/slashMatcher.test.ts,tests/unit/slashMatcher.test.ts,DELETED-OR-UNTRACKED-MOVE,20,100.0,100.0
DERIVED-HIGH,tests/unit/slashCommandAvailability.test.ts,tests/unit/slashCommandAvailability.test.ts,tests/unit/slashCommandAvailability.test.ts,DELETED-OR-UNTRACKED-MOVE,17,100.0,100.0
DERIVED-HIGH,tests/unit/conversationCache.test.ts,tests/unit/conversationCache.test.ts,tests/unit/renderer/utils/conversationCache.test.ts,MOVED+REWRITTEN,17,100.0,100.0
DERIVED-HIGH,tests/unit/acpUtilsDecodeWindows.test.ts,tests/unit/acpUtilsDecodeWindows.test.ts,tests/unit/acpUtilsDecodeWindows.test.ts,DELETED-OR-UNTRACKED-MOVE,22,100.0,100.0
DERIVED-HIGH,tests/unit/modelFallback.test.ts,tests/unit/modelFallback.test.ts,tests/unit/modelFallback.test.ts,DELETED-OR-UNTRACKED-MOVE,27,100.0,100.0
DERIVED-HIGH,tests/unit/geminiAbortRecovery.test.ts,tests/unit/geminiAbortRecovery.test.ts,tests/unit/geminiAbortRecovery.test.ts,DELETED-OR-UNTRACKED-MOVE,44,100.0,100.0
DERIVED-HIGH,tests/unit/useIndexedItemRefs.dom.test.tsx,tests/unit/useIndexedItemRefs.dom.test.tsx,tests/unit/useIndexedItemRefs.dom.test.tsx,DELETED-OR-UNTRACKED-MOVE,18,100.0,100.0
DERIVED-HIGH,tests/unit/registry.test.ts,tests/unit/registry.test.ts,tests/unit/registry.test.ts,DELETED-OR-UNTRACKED-MOVE,19,100.0,100.0
DERIVED-HIGH,tests/unit/useConversationActions.dom.test.ts,tests/unit/useConversationActions.dom.test.ts,tests/unit/useConversationActions.dom.test.ts,DELETED-OR-UNTRACKED-MOVE,45,100.0,100.0
DERIVED-HIGH,tests/unit/weixinLoginRoutes.test.ts,tests/unit/weixinLoginRoutes.test.ts,tests/unit/weixinLoginRoutes.test.ts,DELETED-OR-UNTRACKED-MOVE,37,100.0,100.0
DERIVED-HIGH,tests/unit/webui-favicon.test.ts,tests/unit/webui-favicon.test.ts,tests/unit/webui-favicon.test.ts,DELETED-OR-UNTRACKED-MOVE,12,100.0,100.0
DERIVED-HIGH,tests/unit/renderer/assertBridgeSuccess.test.ts,tests/unit/renderer/assertBridgeSuccess.test.ts,tests/unit/renderer/assertBridgeSuccess.test.ts,DELETED-OR-UNTRACKED-MOVE,9,100.0,100.0
DERIVED-HIGH,tests/unit/chat/autoTitle.test.ts,tests/unit/chat/autoTitle.test.ts,tests/unit/renderer/utils/autoTitle.test.ts,MOVED+REWRITTEN,15,100.0,100.0
