symbol,ticker,exchange,qualified_pct,typ_annual_vol_pct,cagr_pct,buyhold_cagr_pct,profit_factor,max_dd_pct,trades_per_year,source_lists
NASDAQ:SOUN,SOUN,NASDAQ,100,139.6,7.7,-1.3,1.82,56.5,4.7,RebelAI
NYSE:IONQ,IONQ,NYSE,100,96.0,-0.7,26.3,0.95,76.5,5.0,RebelAI
NASDAQ:ARM,ARM,NASDAQ,100,74.9,4.8,68.7,1.27,46.9,8.4,RebelAI
NYSE:AI,AI,NYSE,100,70.4,-8.7,-32.8,0.35,63.2,4.6,RebelAI
NASDAQ:PLTR,PLTR,NASDAQ,100,67.1,17.7,61.6,4.69,35.6,5.0,RebelAI
NASDAQ:DDOG,DDOG,NASDAQ,100,62.2,7.4,30.2,3.73,18.9,8.2,RebelAI
NYSE:NET,NET,NYSE,100,61.4,20.4,49.4,4.36,52.6,4.3,RebelAI
NYSE:PATH,PATH,NYSE,100,60.6,-2.6,-26.1,0.48,24.6,4.1,RebelAI
NYSE:TDOC,TDOC,NYSE,100,57.7,2.9,-9.0,1.24,52.0,5.1,TC-Speculative
NASDAQ:AMD,AMD,NASDAQ,100,55.5,3.6,13.9,1.53,77.5,5.4,TC-Core | RebelAI
NYSE:SNOW,SNOW,NYSE,100,54.9,-6.7,3.9,0.43,52.0,6.0,RebelAI
NASDAQ:TSLA,TSLA,NASDAQ,100,53.9,9.3,39.1,1.93,34.1,6.4,RebelAI
NYSE:XYZ,XYZ,NYSE,100,50.6,5.9,18.3,1.62,43.9,7.4,TC-Speculative
NYSE:RNG,RNG,NYSE,100,47.8,5.1,10.0,1.65,45.1,5.9,TC-Exceptional
NYSE:CLF,CLF,NYSE,96,55.3,3.0,4.5,1.33,63.1,5.3,TC-Exceptional
NASDAQ:NVDA,NVDA,NASDAQ,96,48.7,11.2,33.7,3.92,39.3,5.8,RebelAI
NASDAQ:MRVL,MRVL,NASDAQ,96,45.2,2.8,10.9,1.68,54.0,5.1,TC-Core | RebelAI
NYSE:AA,AA,NYSE,96,42.3,1.5,-2.7,1.31,54.6,4.9,TC-Speculative
NASDAQ:PENN,PENN,NASDAQ,96,40.9,6.0,14.6,2.27,48.2,4.6,TC-Speculative
NASDAQ:QUBT,QUBT,NASDAQ,95,197.7,-48.7,-27.0,0.11,100.0,3.1,RebelAI
NASDAQ:SMCI,SMCI,NASDAQ,95,57.2,7.5,19.9,2.40,44.3,7.0,RebelAI
NYSE:FCX,FCX,NYSE,92,46.8,1.5,7.3,1.17,53.6,5.5,TC-Exceptional
NYSE:HP,HP,NYSE,92,40.6,3.0,4.9,1.54,33.1,5.4,TC-Kckass
NASDAQ:Z,Z,NASDAQ,91,50.4,7.2,1.7,3.00,29.0,6.6,TC-Speculative
NASDAQ:BIDU,BIDU,NASDAQ,90,46.7,1.7,11.0,1.09,66.4,6.2,TC-Core | RebelAI
NASDAQ:MU,MU,NASDAQ,88,50.0,10.4,12.6,5.14,32.5,4.0,TC-Exceptional
NYSE:SIG,SIG,NYSE,88,44.3,5.8,5.7,2.80,50.6,6.4,TC-Core
NASDAQ:LRCX,LRCX,NASDAQ,88,42.5,5.8,18.0,2.57,34.4,5.2,RebelAI
NASDAQ:CRWD,CRWD,NASDAQ,86,51.1,11.8,45.2,2.29,51.8,5.3,RebelAI
NASDAQ:DXCM,DXCM,NASDAQ,86,49.4,4.8,17.0,1.53,40.0,6.2,TC-Kckass
NYSE:SM,SM,NYSE,85,53.8,4.4,6.2,1.72,45.6,4.7,TC-Exceptional
NYSE:MT,MT,NYSE,85,43.8,2.9,2.9,1.25,61.1,5.6,TC-Exceptional
NASDAQ:WYNN,WYNN,NASDAQ,83,40.6,7.7,9.0,2.59,36.2,4.8,TC-Exceptional
NYSE:RCL,RCL,NYSE,81,38.3,5.2,7.6,2.68,49.3,6.2,TC-Exceptional
NYSE:QBTS,QBTS,NYSE,80,127.5,22.4,12.2,4.83,68.1,2.9,RebelAI
NASDAQ:RGTI,RGTI,NASDAQ,80,124.9,26.3,10.2,3.64,77.0,4.5,RebelAI
NASDAQ:SWKS,SWKS,NASDAQ,77,47.9,-0.1,2.9,0.98,67.7,5.9,TC-Exceptional
